Faculty,Programme Name,APS Requirement,Subject Requirements,Page
School of Business Sciences,"Bachelor of Commerce (BCom): • General • Information Systems • Politics, Philosophy and Economics",38+,English Home Language or First Additional Language: 5 | Mathematics: 5,9
School of Economics and Finance,Economic Science,42+,English Home Language or First Additional Language: 5 | Mathematics: 7,9
School of Law,Bachelor of Commerce with Law,43+,English Home Language or First Additional Language: 5 | Mathematics: 5,9
School of Law,LLB (four-year stream),46+,English Home Language or First Additional Language: 6 | Mathematics: 4 | Maths Literacy: 6,9
The Wits Margo Steele School of Accountancy,Accounting,38+,English Home Language or First Additional Language: 5 | Mathematics: 5,9
The Wits Margo Steele School of Accountancy,Accounting Science,44+,English Home Language or First Additional Language: 5 | Mathematics: 6,9
School of Architecture and Planning,Architectural Studies*,34+,English Home Language or First Additional Language: 4 | Mathematics: 4,10
School of Architecture and Planning,Urban and Regional Planning,36+,English Home Language or First Additional Language: 5 | Mathematics: 5,10
School of Chemical and Metallurgical Engineering,Chemical Engineering,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
School of Chemical and Metallurgical Engineering,Metallurgy and Materials Engineering,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
School of Civil and Environmental Engineering,Civil Engineering,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
School of Construction Economics and Management,Construction Studies,36+,English Home Language or First Additional Language: 5 | Mathematics: 5,10
School of Construction Economics and Management,Property Studies,36+,English Home Language or First Additional Language: 5 | Mathematics: 5,10
School of Electrical and Information Engineering,Biomedical Engineering,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
School of Electrical and Information Engineering,Digital Arts,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
School of Electrical and Information Engineering,Electrical Engineering,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
"School of Mechanical, Industrial and Aeronautical Engineering",Aeronautical Engineering,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
"School of Mechanical, Industrial and Aeronautical Engineering",Industrial Engineering,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
"School of Mechanical, Industrial and Aeronautical Engineering",Mechanical Engineering,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
School of Mining Engineering,Mining Engineering,42+,English Home Language or First Additional Language: 5 | Mathematics: 5 | Physical Sciences: 5,10
FACULTY OF HEALTH SCIENCES,Clinical Medical Practice,Not specified,English Home Language or First Additional Language: 4 | Mathematics: 4 | Maths Literacy: 7 | Life Sciences and/or Physical Sciences: 4 | All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,Dental Science*,Not specified,English Home Language or First Additional Language: 5 | Mathematics: 5 | Life Sciences: 5 | Physical Sciences: 5 | All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,Medicine and Surgery,Not specified,English Home Language or First Additional Language: 5 | Mathematics: 5 | Life Sciences and/or Physical Sciences: 5 | All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,Nursing,Not specified,English Home Language or First Additional Language: 4 | Mathematics: 4 | Life Sciences and/or Physical Sciences: 4 | All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,Occupational Therapy*,Not specified,English Home Language or First Additional Language: 4 | Mathematics: 4 | Life Sciences and/or Physical Sciences: 4 | All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,Oral Health Sciences*,Not specified,English Home Language or First Additional Language: 4 | Mathematics: 4 | Maths Literacy: 7 | Life Sciences and/or Physical Sciences: 4 | All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,Pharmacy,Not specified,English Home Language or First Additional Language: 5 | Mathematics: 5 | Life Sciences and/or Physical Sciences: 5 | All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,Physiotherapy*,Not specified,English Home Language or First Additional Language: 5 | Mathematics: 5 | Life Sciences and/or Physical Sciences: 5 | All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,• Biokinetics,Not specified,English Home Language or First Additional Language: 5 | Mathematics: 5 | Life Sciences and/or Physical Sciences: 5 | All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,• Biomedical Sciences,Not specified,All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HEALTH SCIENCES,• Health Systems Sciences,Not specified,All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za * Requires a job shadowing Certificate of Attendance hours to be completed (minimum 16 hours) 1 July – 31 July,11
FACULTY OF HUMANITIES,Arts (BA),36+,English Home Language or First Additional Language: 5,12
FACULTY OF HUMANITIES,Arts (Law),43+,English Home Language or First Additional Language: 5 | Mathematics: 3 | Maths Literacy: 4,12
School of Human and Comm,Audiology*,34+,English Home Language or First Additional Language: 5 | Mathematics: 4,12
School of Human and Comm,Social Work,34+,English Home Language or First Additional Language: 5,12
School of Human and Comm,Speech- Language Pathology*,34+,English Home Language or First Additional Language: 5 | Mathematics: 4 | *All applicants are required to write the NBT by 18 August 2025 www.nbt.ac.za Not applicable to Social Work,12
Wits School of Arts (WSoA),Arts in Digital Arts,36+,"English Home Language or First Additional Language: 5 | Additional Requirements: Audition, Portfolio or Written Assignment",12
Wits School of Arts (WSoA),Arts in Film and Television,34+,English Home Language or First Additional Language: 5,12
Wits School of Arts (WSoA),Arts in Fine Arts,34+,English Home Language or First Additional Language: 5,12
Wits School of Arts (WSoA),Arts in Theatre and Performance,34+,English Home Language or First Additional Language: 5,12
Wits School of Arts (WSoA),Music,34+,English Home Language or First Additional Language: 5,12
Wits School of Education (WSoE),Foundation Phase Teaching,37+,English Home Language or First Additional Language: 5 | Mathematics: 4 | Maths Literacy: 5 | Technical Mathematics: 5,12
Wits School of Education (WSoE),Intermediate Phase Teaching,37+,English Home Language or First Additional Language: 5 | Mathematics: 4 | Maths Literacy: 5 | Technical Mathematics: 5,12
Wits School of Education (WSoE),Senior Phase and Further Education and Training Teaching,37+,English Home Language or First Additional Language: 5,12
FACULTY OF SCIENCE,Actuarial Science,42+,English Home Language or First Additional Language: 7 | Mathematics: 7 | Physical Sciences: 7,13
FACULTY OF SCIENCE,Astronomy and Astrophysics,43+,English Home Language or First Additional Language: 5 | Mathematics: 6 | Physical Sciences: 6,13
FACULTY OF SCIENCE,Biological Sciences,43+,English Home Language or First Additional Language: 5 | Mathematics: 5,13
FACULTY OF SCIENCE,Chemistry with Chemical Engineering,43+,English Home Language or First Additional Language: 5 | Mathematics: 6 | Physical Sciences: 6,13
FACULTY OF SCIENCE,Computational and Applied Mathematics,44+,English Home Language or First Additional Language: 5 | Mathematics: 6,13
FACULTY OF SCIENCE,Computer Science,44+,English Home Language or First Additional Language: 5 | Mathematics: 6,13
FACULTY OF SCIENCE,Environmental Studies,42+,English Home Language or First Additional Language: 5 | Mathematics: 5,13
FACULTY OF SCIENCE,Geographical and Archaeological Sciences,42+,English Home Language or First Additional Language: 5 | Mathematics: 5,13
FACULTY OF SCIENCE,Geological Sciences,42+,English Home Language or First Additional Language: 5 | Mathematics: 6 | Physical Sciences: 5,13
FACULTY OF SCIENCE,Geospatial Sciences,42+,English Home Language or First Additional Language: 5 | Mathematics: 5,13
FACULTY OF SCIENCE,Materials Science,43+,English Home Language or First Additional Language: 5 | Mathematics: 6 | Physical Sciences: 5,13
FACULTY OF SCIENCE,Mathematical Sciences,42+,English Home Language or First Additional Language: 7 | Mathematics: 7 | Physical Sciences: 7,13
FACULTY OF SCIENCE,Physical Sciences (Chemistry/Physics),42+,English Home Language or First Additional Language: 5 | Mathematics: 6 | Physical Sciences: 5,13
FACULTY OF SCIENCE,Science (BSc) General,42+,English Home Language or First Additional Language: 5 | Mathematics: 5,13
